"ジャンル","URL","車名","価格","全長 (mm)","全幅 (mm)","全高 (mm)","ホイールベース (mm)","シート高 (mm)","車両重量 (kg)","気筒数","シリンダ配列","排気量 (cc)","カム・バルブ駆動方式","気筒あたりバルブ数","最高出力（kW）","最高出力回転数（rpm）","最大トルク（N・m）","最大トルク回転数（rpm）"
0,"https://www.bikebros.co.jp/catalog/8/12_10/","ドゥカティ | DUCATI　XディアベルS | X Diavel S",2897000,2310.0,1010.0,1133.0,1615.0,755.0,249.0,2,"V型（L型）",1262.0,"",4,118.0,9500.0,127.0,5000.0
0,"https://www.bikebros.co.jp/catalog/10/999_39/","トライアンフ | TRIUMPH　スピードトリプル1200RR | Speed Triple 1200RR",2285000,2085.0,758.0,1120.0,1439.0,830.0,199.0,3,"並列（直列）",1160.0,"DOHC",4,132.4,10750.0,125.0,9000.0
0,"https://www.bikebros.co.jp/catalog/10/999_11/","トライアンフ | TRIUMPH　スラクストンTFC | Thruxton TFC","","","","","",810.0,"",2,"並列（直列）",1200.0,"OHC（SOHC）",4,"",8000.0,115.0,4850.0
0,"https://www.bikebros.co.jp/catalog/10/999_46/","トライアンフ | TRIUMPH　タイガー1200GTエクスプローラー | Tiger 1200 GT Explorer",2549000,2256.0,982.0,1436.0,1560.0,850.0,255.0,3,"並列（直列）",1160.0,"DOHC",4,110.4,9000.0,130.0,7000.0
0,"https://www.bikebros.co.jp/catalog/10/999_45/","トライアンフ | TRIUMPH　タイガー1200GTプロ | Tiger 1200 GT Pro",2364000,2245.0,982.0,1436.0,1560.0,850.0,245.0,3,"並列（直列）",1160.0,"DOHC",4,110.4,9000.0,130.0,7000.0
0,"https://www.bikebros.co.jp/catalog/10/999_48/","トライアンフ | TRIUMPH　タイガー1200ラリーエクスプローラー | Tiger 1200 Rally Explorer",2699000,2296.0,982.0,1487.0,1560.0,875.0,261.0,3,"並列（直列）",1160.0,"DOHC",4,110.4,9000.0,130.0,7000.0
0,"https://www.bikebros.co.jp/catalog/10/999_47/","トライアンフ | TRIUMPH　タイガー1200ラリープロ | Tiger 1200 Rally Pro",2519000,2270.0,982.0,1487.0,1560.0,875.0,249.0,3,"並列（直列）",1160.0,"DOHC",4,110.4,9000.0,130.0,7000.0
0,"https://www.bikebros.co.jp/catalog/10/999_3/","トライアンフ | TRIUMPH　タイガー1200XCA/XCx | Tiger 1200 XCA/XCx",2837700,2230.0,930.0,1470.0,1520.0,835.0,273.0,3,"並列（直列）",1215.0,"DOHC",4,104.0,9350.0,122.0,7600.0
0,"https://www.bikebros.co.jp/catalog/10/999_2/","トライアンフ | TRIUMPH　タイガー1200XRT/XRx/XR | Tiger 1200 XRT/XRx/XR",2756600,2230.0,930.0,1470.0,1520.0,835.0,269.0,3,"並列（直列）",1215.0,"DOHC",4,104.0,9350.0,122.0,7600.0
0,"https://www.bikebros.co.jp/catalog/10/999_29/","トライアンフ | TRIUMPH　タイガー1200デザートスペシャルエディション | Tiger1200 Desert Special Edition",2650000,2230.0,930.0,1470.0,1520.0,835.0,"",3,"並列（直列）",1215.0,"DOHC",4,104.0,9350.0,122.0,7600.0
0,"https://www.bikebros.co.jp/catalog/9/999_18/","モトグッツィ | MOTO GUZZI　V100マンデッロ | V100 Mandello","","","","",1486.0,"","",2,"V型（L型）",1042.0,"DOHC",4,"",9500.0,105.0,""
0,"https://www.bikebros.co.jp/catalog/11/30_1/","アプリリア | aprilia　RSV4ファクトリー | RSV4 FACTORY",3080000,2055.0,735.0,"",1436.0,845.0,202.0,4,"V型（L型）",1099.0,"DOHC",4,159.5,13000.0,125.0,10500.0
0,"https://www.bikebros.co.jp/catalog/11/999_27/","アプリリア | aprilia　トゥオーノV4 ファクトリー | Tuono V4 Factory",2255000,2070.0,810.0,"",1450.0,825.0,209.0,4,"V型（L型）",1077.0,"DOHC",4,129.0,11350.0,121.0,9000.0
0,"https://www.bikebros.co.jp/catalog/262/999_1/","イービーアール | EBR　1190RX","","","","","","","",2,"V型（L型）",1190.0,"","","","","",""
